A00,COLERA
P96,OTRAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
Q00,ANENCEFALIA Y MALFORMACIONES CONGÉNITAS SIMILARES
Q01,ENCEFALOCELE
Q02,MICROCEFALIA
Q03,HIDROCÉFALO CONGÉNITO
Q04,OTRAS MALFORMACIONES CONGÉNITAS DEL ENCÉFALO
Q05,ESPINA BIFIDA
Q06,OTRAS MALFORMACIONES CONGÉNITAS DE LA MÉDULA ESPINAL
Q07,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA NERVIOSO
Q10,MALFORMACIONES CONGÉNITAS DE LOS PÁRPADOS DEL APARATO LAGRIMAL Y DE LA ORBITA
Q11,ANOFTALMIA MICROFTALMIA Y MACROFTALMIA
Q12,MALFORMACIONES CONGÉNITAS DEL CRISTALINO
Q13,MALFORMACIONES CONGÉNITAS DEL SEGMENTO ANTERIOR DEL OJO
Q14,MALFORMACIONES CONGÉNITAS DEL SEGMENTO POSTERIOR DEL OJO
Q15,OTRAS MALFORMACIONES CONGÉNITAS DEL OJO
Q16,MALFORMACIONES CONGÉNITAS DEL OIDO QUE CAUSAN ALTERACION DE LA AUDICION
Q17,OTRAS MALFORMACIONES CONGÉNITAS DEL OIDO
Q18,OTRAS MALFORMACIONES CONGÉNITAS DE LA CARA Y DEL CUELLO
Q20,MALFORMACIONES CONGÉNITAS DE LAS CÁMARAS CARDIACAS Y SUS CONEXIONES
Q21,MALFORMACIONES CONGÉNITAS DE LOS TABIQUES CARDIACOS
Q22,MALFORMACIONES CONGÉNITAS DE LAS VÁLVULAS PÚLMONAR Y TRICUSPIDE
Q23,MALFORMACIONES CONGÉNITAS DE LAS VÁLVULAS AORTICA Y MITRAL
Q24,OTRAS MALFORMACIONES CONGÉNITAS DEL CORAZON
Q25,MALFORMACIONES CONGÉNITAS DE LAS GRANDES ARTERIAS
Q26,MALFORMACIONES CONGÉNITAS DE LAS GRANDES VENAS
Q27,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA VASCULAR PERIFÉRICO
Q28,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA CIRCULATORIO
Q30,MALFORMACIONES CONGÉNITAS DE LA NARIZ
Q31,MALFORMACIONES CONGÉNITAS DE LA LARINGE
Q32,MALFORMACIONES CONGÉNITAS DE LA TRÁQUEA Y DE LOS BRONQUIOS
Q33,MALFORMACIONES CONGÉNITAS DEL PÚLMON
Q34,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA RESPIRATORIO
Q35,FISURA DEL PALADAR
Q36,LABIO LEPORINO
Q37,FISURA DEL PALADAR CON LABIO LEPORINO
Q38,OTRAS MALFORMACIONES CONGÉNITAS DE LA LENGUA DE LA BOCA Y DE LA FARINGE
Q39,MALFORMACIONES CONGÉNITAS DEL ESOFAGO
Q40,OTRAS MALFORMACIONES CONGÉNITAS DE LA PARTE SUPERIOR DEL TUBO DIGESTIVO
Q41,AUSENCIA ATRESIA Y ESTENOSIS CONGÉNITA DEL INTESTINO DELGADO
Q42,AUSENCIA ATRESIA Y ESTENOSIS CONGÉNITA DEL INTESTINO GRUESO
Q43,OTRAS MALFORMACIONES CONGÉNITAS DEL INTESTINO
Q44,MALFORMACIONES CONGÉNITAS DE LA VESICULA BILIAR DE LOS CONDUCTOS BILIARES Y  DEL HIGADO
Q45,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA DIGESTIVO
Q50,MALFORMACIONES CONGÉNITAS DE LOS OVARIOS DE LAS TROMPAS DE FALOPIO Y DE LOS LIGAMENTOS ANCHOS
Q51,MALFORMACIONES CONGÉNITAS DEL UTERO Y DEL CUELLO UTERINO
Q52,OTRAS MALFORMACIONES CONGÉNITAS DE LOS ORGANOS GENITALES FEMENINOS
Q53,TESTICULO NO DESCENDIDO
Q54,HIPOSPADIAS
Q55,OTRAS MALFORMACIONES CONGÉNITAS DE LOS ORGANOS GENITALES MASCULINOS
Q56,SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO
Q60,AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLÁSICAS DEL RIÑON
Q61,ENFERMEDAD QUISTICA DEL RIÑON
Q62,DEFECTOS OBSTRUCTIVOS CONGÉNITOS DE LA PELVIS RENAL Y MALFORMACIONES  CONGÉNITAS DEL URÉTER
Q63,OTRAS MALFORMACIONES CONGÉNITAS DEL RIÑON
Q64,OTRAS MALFORMACIONES CONGÉNITAS DEL SISTEMA URINARIO
Q65,DEFORMIDADES CONGÉNITAS DE LA CADERA
Q66,DEFORMIDADES CONGÉNITAS DE LOS PIES
Q67,DEFORMIDADES OSTEOMUSCULARES CONGÉNITAS DE LA CABEZA DE LA CARA DE LA  COLUMNA VERTEBRAL Y DEL TORAX
Q68,OTRAS DEFORMIDADES OSTEOMUSCULARES CONGÉNITAS
Q69,POLIDACTILIA
Q70,SINDACTILIA
Q71,DEFECTOS POR REDUCCION DEL MIEMBRO SUPERIOR
Q72,DEFECTOS POR REDUCCION DEL MIEMBRO INFERIOR
Q73,DEFECTOS POR REDUCCION DE MIEMBRO NO ESPECIFICADO
Q74,OTRAS ANOMALIAS CONGÉNITAS DEL DE LOS MIEMBROS
Q75,OTRAS MALFORMACIONES CONGÉNITAS DE LOS HUESOS DEL CRÁNEO Y DE LA CARA
Q76,MALFORMACIONES CONGÉNITAS DE LA COLUMNA VERTEBRAL Y TORAX OSEO
Q77,OSTEOCONDRODISPLASIA CON DEFECTO DEL CRECIMIENTO DE LOS HUESOS LARGOS Y DE LA COLUMNA VERTEBRAL
Q78,OTRAS OSTEOCONDRODISPLASIAS
Q79,MALFORMACIONES CONGÉNITAS DEL SISTEMA OSTEOMUSCULAR NO CLASIFICADAS EN OTRA PARTE
Q80,ICTIOSIS CONGÉNITA
Q81,EPIDERMOLISIS BULLOSA
Q82,OTRAS MALFORMACIONES CONGÉNITAS DE LA PIEL
Q83,MALFORMACIONES CONGÉNITAS DE LA MAMA
Q84,OTRAS MALFORMACIONES CONGÉNITAS DE LAS FANERAS
Q85,FACOMATOSIS NO CLASIFICADA EN OTRA PARTE
Q86,SÍNDROMES DE MALFORMACIONES CONGENITAS DEBIDOS A CAUSAS EXOGENAS CONOCIDAS NO  CLASIFICADOS EN OTRA PARTE
Q87,OTROS SÍNDROMES DE MALFORMACIONES CONGENITAS ESPECIFICADOS QUE AFECTAN MULTIPLES SISTEMAS
Q89,OTRAS MALFORMACIONES CONGÉNITAS NO CLASIFICADAS EN OTRA PARTE
Q90,SÍNDROME DE DOWN
Q91,SÍNDROME DE EDWARDS Y SÍNDROME DE PATAU
Q92,OTRAS TRISOMIAS Y TRISOMIAS PARCIALES DE LOS AUTOSOMAS NO CLASIFICADAS EN OTRA  PARTE
Q93,MONOSOMIAS Y SUPRESIONES DE LOS AUTOSOMAS NO CLASIFICADAS EN OTRA PARTE
Q95,REORDENAMIENTOS EQUILIBRADOS Y MARCADORES ESTRUCTURALES NO CLASIFICADOS EN OTRA PARTE
Q96,SÍNDROME DE TURNER
Q97,OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES CON FENOTIPO FEMENINO NO CLASIFICADAS EN OTRA PARTE
Q98,OTRAS ANOMALIAS DE LOS CROMOSOMAS SEXUALES CON FENOTIPO MASCULINO NO CLASIFICADAS EN OTRA  PARTE
Q99,OTRAS ANOMALIAS CROMOSOMICAS NO CLASIFICADAS EN OTRA PARTE
R00,ANORMALIDADES DEL LATIDO CARDIACO
R01,SOPLOS Y OTROS SONIDOS CARDIACOS
R02,GANGRENA NO CLASIFICADA EN OTRA PARTE
R03,LECTURA DE PRESION SANGUINEA ANORMAL SIN DIAGNOSTICO
R04,HEMORRAGIAS DE LAS VIAS RESPIRATORIAS
R05,TOS
R06,ANORMALIDADES DE LA RESPIRACION
R07,DOLOR DE GARGANTA Y EN EL PECHO
R09,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS CIRCULATORIO Y RESPIRATORIO
R10,DOLOR ABDOMINAL Y PÉLVICO
R11,NÁUSEA Y VOMITO
R12,ACIDEZ
R13,DISFAGIA
R14,FLATULENCIA Y AFECCIONES AFINES
R15,INCONTINENCIA FECAL
R16,HEPATOMEGALIA Y ESPLENOMEGALIA NO CLASIFICADAS EN OTRA PARTE
R17,ICTERICIA NO ESPECIFICADA
R18,ASCITIS
R19,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA DIGESTIVO Y EL ABDOMEN
R20,ALTERACIONES DE LA SENSIBILIDAD CUTÁNEA
R21,SALPULLIDO Y OTRAS ERUPCIONES CUTÁNEAS NO ESPECIFICADAS
R22,TUMEFACCION MASA O PROMINENCIA DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO LOCALIZADAS
R23,OTROS CAMBIOS EN LA PIEL
R25,MOVIMIENTOS INVOLUNTARIOS ANORMALES
R26,ANORMALIDADES DE LA MARCHA Y DE LA MOVILIDAD
R27,OTRAS FALLAS DE COORDINACION
R29,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LOS SISTEMAS NERVIOSO Y  OSTEOMUSCULAR
R30,DOLOR ASOCIADO CON LA MICCION
R31,HEMATURIA NO ESPECIFICADA
R32,INCONTINENCIA URINARIA NO ESPECIFICADA
R33,RETENCION DE ORINA
R34,ANURIA Y OLIGURIA
R35,POLIURIA
R36,DESCARGA URETRAL
R39,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN EL SISTEMA URINARIO
R40,SOMNOLENCIA ESTUPOR Y COMA
R41,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA  CONCIENCIA
R42,MAREO Y DESVANECIMIENTO
R43,TRASTORNOS DEL OLFATO Y DEL GUSTO
R44,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LAS SENSACIONES Y PERCEPCIONES  GENERALES
R45,SINTOMAS Y SIGNOS QUE INVOLUCRAN EL ESTADO EMOCIONAL
R46,SINTOMAS Y SIGNOS QUE INVOLUCRAN LA APARIENCIA Y EL COMPORTAMIENTO
R47,ALTERACIONES DEL HABLA NO CLASIFICADAS EN OTRA PARTE
R48,DISLEXIA Y OTRAS DISFUNCIONES SIMBOLICAS NO CLASIFICADAS EN OTRA PARTE
R49,ALTERACIONES DE LA VOZ
R50,FIEBRE DE ORIGEN DESCONOCIDO
R51,CEFALEA
R52,DOLOR NO CLASIFICADO EN OTRA PARTE
R53,MALESTAR Y FATIGA
R54,SENILIDAD
R55,SINCOPE Y COLAPSO
R56,CONVULSIONES NO CLASIFICADAS EN OTRA PARTE
R57,CHOQUE NO CLASIFICADO EN OTRA PARTE
R58,HEMORRAGIA NO CLASIFICADA EN OTRA PARTE
R59,ADENOMEGALIA
R60,EDEMA NO CLASIFICADO EN OTRA PARTE
R61,HIPERHIDROSIS
R62,FALTA DEL DESARROLLO FISIOLOGICO NORMAL ESPERADO
R63,SINTOMAS Y SIGNOS CONCERNIENTES A LA ALIMENTACION Y A LA INGESTION DE LIQUIDOS
R64,CAQUEXIA
R68,OTROS SINTOMAS Y SIGNOS GENERALES
R69,CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS
R70,VELOCIDAD DE ERITROSEDIMENTACION ELEVADA Y OTRAS ANORMALIDADES DE LA VISCOSIDAD DEL PLASMA
R71,ANORMALIDAD DE LOS ERITROCITOS
R72,ANORMALIDADES DE LOS LEUCOCITOS NO CLASIFICADAS EN OTRA PARTE
R73,NIVEL ELEVADO DE GLUCOSA EN SANGRE
R74,NIVEL ANORMAL DE ENZIMAS EN SUERO
R75,EVIDENCIAS DE LABORATORIO DEL VIRUS DE LA INMUNODEFICIENCIA HUMANA VIH
R76,OTROS HALLAZGOS INMUNOLOGICOS ANORMALES EN SUERO
R77,OTRAS ANORMALIDADES DE LAS PROTEINAS PLASMÁTICAS
R78,HALLAZGO DE DROGAS Y OTRAS SUSTANCIAS QUE NORMALMENTE NO SE ENCUENTRAN EN  LA SANGRE
R79,OTROS HALLAZGOS ANORMALES EN LA QUIMICA SANGUINEA
R80,PROTEINURIA AISLADA
R81,GLUCOSURIA
R82,OTROS HALLAZGOS ANORMALES EN LA ORINA
R83,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO
R84,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y  TORÁCICOS
R85,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y DE LA CAVIDAD ABDOMINAL
R86,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS
R87,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS
R89,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS
R90,HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL SISTEMA NERVIOSO CENTRAL
R91,HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL PÚLMON
R92,HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE LA MAMA
R93,HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE OTRAS ESTRUCTURAS DEL  CUERPO
R94,RESULTADOS ANORMALES EN ESTUDIOS FUNCIONALES
R95,SÍNDROME DE LA MUERTE SUBITA INFANTIL
R96,OTRAS MUERTES SUBITAS DE CAUSA DESCONOCIDA
R98,MUERTE SIN ASISTENCIA
R99,OTRAS CAUSAS MAL DEFINIDAS Y LAS NO ESPECIFICADAS DE MORTALIDAD
S00,TRAUMATISMO SUPERFICIAL DE LA CABEZA
S01,HERIDA DE LA CABEZA
S02,FRACTURA DE HUESOS DEL CRÁNEO Y DE LA CARA
S03,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DE LA CABEZA
S04,TRAUMATISMO DE NERVIOS CRANEALES
S05,TRAUMATISMO DEL OJO Y DE LA ORBITA
S06,TRAUMATISMO INTRACRANEAL
S07,TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA
S08,AMPUTACION TRAUMÁTICA DE PARTE DE LA CABEZA
S09,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CABEZA
S10,TRAUMATISMO SUPERFICIAL DEL CUELLO
S11,HERIDA DEL CUELLO
S12,FRACTURA DEL CUELLO
S13,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CUELLO
S14,TRAUMATISMO DE LA MEDULA ESPINAL Y DE NERVIOS A NIVEL DEL CUELLO
S15,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL CUELLO
S16,TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL CUELLO
S17,TRAUMATISMO POR APLASTAMIENTO DEL CUELLO
S18,AMPUTACION TRAUMÁTICA A NIVEL DEL CUELLO
S19,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL CUELLO
S20,TRAUMATISMO SUPERFICIAL DEL TORAX
S21,HERIDA DEL TORAX
S22,FRACTURA DE LAS COSTILLAS DEL ESTERNON Y DE LA COLUMNA TORÁCICA DORSAL
S23,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TORAX
S24,TRAUMATISMO DE NERVIOS Y DE LA MEDULA ESPINAL A NIVEL DEL TORAX
S25,TRAUMATISMO DE VASOS SANGUINEOS DEL TORAX
S26,TRAUMATISMO DEL CORAZON
S27,TRAUMATISMO DE OTROS ORGANOS INTRATORÁCICOS Y DE LOS NO ESPECIFICADOS
S28,TRAUMATISMO POR APLASTAMIENTO DEL TORAX Y AMPUTACION TRAUMÁTICA DE PARTE DEL TORAX
S29,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL TORAX
S30,TRAUMATISMO SUPERFICIAL DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S31,HERIDA DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S32,FRACTURA DE LA COLUMNA LUMBAR Y DE LA PELVIS
S33,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA COLUMNA LUMBAR Y DE LA PELVIS
S34,TRAUMATISMO DE LOS NERVIOS Y DE LA MEDULA ESPINAL LUMBAR A NIVEL DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S35,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S36,TRAUMATISMO DE ORGANOS INTRAABDOMINALES
S37,TRAUMATISMO DE ORGANOS PELVICOS
S38,TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMÁTICA DE PARTE DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S39,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ABDOMEN DE LA REGION LUMBOSACRA Y DE LA PELVIS
S40,TRAUMATISMO SUPERFICIAL DEL HOMBRO Y DEL BRAZO
S41,HERIDA DEL HOMBRO Y DEL BRAZO
S42,FRACTURA DEL HOMBRO Y DEL BRAZO
S43,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA CINTURA ESCAPULAR
S44,TRAUMATISMO DE NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO
S45,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO
S46,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL HOMBRO Y DEL BRAZO
S47,TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y DEL BRAZO
S48,AMPUTACION TRAUMÁTICA DEL HOMBRO Y DEL BRAZO
S49,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL HOMBRO Y DEL BRAZO
S50,TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO Y DEL CODO
S51,HERIDA DEL ANTEBRAZO Y DEL CODO
S52,FRACTURA DEL ANTEBRAZO
S53,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CODO
S54,TRAUMATISMO DE NERVIOS A NIVEL DEL ANTEBRAZO
S55,TRAUMATISMO DE LOS VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO
S56,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL ANTEBRAZO
S57,TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO
S58,AMPUTACION TRAUMÁTICA DEL ANTEBRAZO
S59,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ANTEBRAZO
S60,TRAUMATISMO SUPERFICIAL DE LA MUÑECA Y DE LA MANO
S61,HERIDA DE LA MUÑECA Y DE LA MANO
S62,FRACTURA A NIVEL DE LA MUÑECA Y DE LA MANO
S63,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS A NIVEL DE LA MUÑECA Y DE LA MANO
S64,TRAUMATISMO DE NERVIOS A NIVEL DE LA MUÑECA Y DE LA MANO
S65,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA MUÑECA Y DE LA MANO
S66,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA MUÑECA Y DE LA MANO
S67,TRAUMATISMO POR APLASTAMIENTO DE LA MUÑECA Y DE LA MANO
S68,AMPUTACION TRAUMÁTICA DE LA MUÑECA Y DE LA MANO
S69,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA MUÑECA Y DE LA MANO
S70,TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO
S71,HERIDA DE LA CADERA Y DEL MUSLO
S72,FRACTURA DEL FÉMUR
S73,LUXACION ESGUINCE Y TORCEDURA DE LA ARTICULACION Y DE LOS LIGAMENTOS DE LA CADERA
S74,TRAUMATISMO DE NERVIOS A NIVEL DE LA CADERA Y DEL MUSLO
S75,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO
S76,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA CADERA Y DEL MUSLO
S77,TRAUMATISMO POR APLASTAMIENTO DE LA CADERA Y DEL MUSLO
S78,AMPUTACION TRAUMÁTICA DE LA CADERA Y DEL MUSLO
S79,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CADERA Y DEL MUSLO
S80,TRAUMATISMO SUPERFICIAL DE LA PIERNA
S81,HERIDA DE LA PIERNA
S82,FRACTURA DE LA PIERNA INCLUSIVE EL TOBILLO
S83,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA RODILLA
S84,TRAUMATISMO DE NERVIOS A NIVEL DE LA PIERNA
S85,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA PIERNA
S86,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA PIERNA
S87,TRAUMATISMO POR APLASTAMIENTO DE LA PIERNA
S88,AMPUTACION TRAUMÁTICA DE LA PIERNA
S89,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA PIERNA
S90,TRAUMATISMO SUPERFICIAL DEL TOBILLO Y DEL PIE
S91,HERIDA DEL TOBILLO Y DEL PIE
S92,FRACTURA DEL PIE EXCEPTO DEL TOBILLO
S93,LUXACION ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TOBILLO Y DEL PIE
S94,TRAUMATISMO DE NERVIOS A NIVEL DEL PIE Y DEL TOBILLO
S95,TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO
S96,TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL PIE Y DEL TOBILLO
S97,TRAUMATISMO POR APLASTAMIENTO DEL PIE Y DEL TOBILLO
S98,AMPUTACION TRAUMÁTICA DEL PIE Y DEL TOBILLO
S99,OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL PIE Y DEL TOBILLO
T00,TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T01,HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T02,FRACTURAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T03,LUXACIONES TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T04,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T05,AMPUTACIONES TRAUMÁTICAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T06,OTROS TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO NO CLASIFICADOS EN OTRA PARTE
T07,TRAUMATISMOS MULTIPLES NO ESPECIFICADOS
T08,FRACTURA DE LA COLUMNA VERTEBRAL NIVEL NO ESPECIFICADO
T09,OTROS TRAUMATISMOS DE LA COLUMNA VERTEBRAL Y DEL TRONCO NIVEL NO ESPECIFICADO
T10,FRACTURA DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
T11,OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
T12,FRACTURA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
T13,OTROS TRAUMATISMOS DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
T14,TRAUMATISMO DE REGIONES NO ESPECIFICADAS DEL CUERPO
T15,CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO
T16,CUERPO EXTRAÑO EN EL OIDO
T17,CUERPO EXTRAÑO EN LAS VIAS RESPIRATORIAS
T18,CUERPO EXTRAÑO EN EL TUBO DIGESTIVO
T19,CUERPO EXTRAÑO EN LAS VIAS GENITOURINARIAS
T20,QUEMADURA Y CORROSION DE LA CABEZA Y DEL CUELLO
T21,QUEMADURA Y CORROSION DEL TRONCO
T22,QUEMADURA Y CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR EXCEPTO DE LA MUNECA Y DE LA MANO
T23,QUEMADURA Y CORROSION DE LA MUÑECA Y DE LA MANO
T24,QUEMADURA Y CORROSION DE LA CADERA Y MIEMBRO INFERIOR EXCEPTO TOBILLO Y PIE
T25,QUEMADURA Y CORROSION DEL TOBILLO Y DEL PIE
T26,QUEMADURA Y CORROSION LIMITADA AL OJO Y SUS ANEXOS
T27,QUEMADURA Y CORROSION DE LAS VIAS RESPIRATORIAS
T28,QUEMADURA Y CORROSION DE OTROS ORGANOS INTERNOS
T29,QUEMADURAS Y CORROSIONES DE MULTIPLES REGIONES DEL CUERPO
T30,QUEMADURA Y CORROSION REGION DEL CUERPO NO ESPECIFICADA
T31,QUEMADURAS CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T32,CORROSIONES CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T33,CONGELAMIENTO SUPERFICIAL
T34,CONGELAMIENTO CON NECROSIS TISULAR
T35,CONGELAMIENTO QUE AFECTA MULTIPLES REGIONES DEL CUERPO Y CONGELAMIENTO NO ESPECIFICADO
T36,ENVENENAMIENTO POR ANTIBIOTICOS SISTÉMICOS
T37,ENVENENAMIENTO POR OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTÉMICOS
T38,ENVENENAMIENTO POR HORMONAS Y SUS SUSTITUTOS Y ANTAGONISTAS SINTÉTICOS NO CLASIFICADOS EN OTRA PARTE
T39,ENVENENAMIENTO POR ANALGÉSICOS NO NARCOTICOS ANTIPIRÉTICOS Y ANTIRREUMÁTICOS
T40,ENVENENAMIENTO POR NARCOTICOS Y PSICODISLÉPTICOS ALUCINOGENOS
T41,ENVENENAMIENTO POR ANESTÉSICOS Y GASES TERAPÉUTICOS
T42,ENVENENAMIENTO POR ANTIEPILÉPTICOS HIPNOTICOSSEDANTES Y DROGAS ANTIPARKINSONIANAS
T43,ENVENENAMIENTO POR PSICOTROPICOS NO CLASIFICADOS EN OTRA PARTE
T44,ENVENENAMIENTO POR DROGAS QUE AFECTAN PRINCIPALMENTE EL SISTEMA NERVIOSO  AUTONOMO
T45,ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTÉMICOS Y HEMATOLOGICOS NO CLASIFICADOS EN OTRA PARTE
T46,ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA  CARDIOVASCULAR
T47,ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA  GASTROINTESTINAL
T48,ENVENENAMIENTO POR AGENTES CON ACCION PRINCIPAL SOBRE LOS MUSCULOS LISOS Y ESQUELÉTICOS Y SOBRE EL SISTEMA RESPIRATORIO
T49,ENVENENAMIENTO POR AGENTES TOPICOS QUE AFECTAN PRINCIPALMENTE LA PIEL Y LAS MEMBRANAS MUCOSAS Y POR DROGAS OFTALMOLOGICAS OTORRINOLARINGOLOGICAS Y DENTALES
T50,ENVENENAMIENTO POR DIURÉTICOS Y OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS
T51,EFECTO TOXICO DEL ALCOHOL
T52,EFECTO TOXICO DE DISOLVENTES ORGÁNICOS
T53,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFÁTICOS Y AROMÁTICOS
T54,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS
T55,EFECTO TOXICO DE DETERGENTES Y JABONES
T56,EFECTO TOXICO DE METALES
T57,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGÁNICAS
